timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2024-03-01T00:00:00.000Z,2024-03-01T23:59:59.999Z,2024-03-01T23:16:00.000Z,2024-03-01T00:16:00.000Z,2781,399.6724116676,408.5527882391,399.4783099499,407.810765863,1527194519.04,60984893352.23,2024-03-01T23:59:59.999Z
2024-02-29T00:00:00.000Z,2024-02-29T23:59:59.999Z,2024-02-29T00:31:00.000Z,2024-02-29T22:40:00.000Z,2781,415.5836155511,419.7790311579,392.3798703267,399.7787176632,2058367303.41,59783843986.18,2024-02-29T23:59:59.999Z
2024-02-28T00:00:00.000Z,2024-02-28T23:59:59.999Z,2024-02-28T17:17:00.000Z,2024-02-28T01:17:00.000Z,2781,394.9517105958,427.0468111533,394.6610833863,415.7716193957,2323818531.35,62175548203.85,2024-02-28T23:59:59.999Z
2024-02-27T00:00:00.000Z,2024-02-27T23:59:59.999Z,2024-02-27T01:19:00.000Z,2024-02-27T16:15:00.000Z,2781,401.6438982679,403.7400563631,390.9178802653,394.9956484861,1750697179.01,59068743684.28,2024-02-27T23:59:59.999Z
2024-02-26T00:00:00.000Z,2024-02-26T23:59:59.999Z,2024-02-26T20:39:00.000Z,2024-02-26T02:22:00.000Z,2781,388.5350181379,404.4401047302,382.2568663643,401.6438982679,2011146388.16,60063016802.73,2024-02-26T23:59:59.999Z
2024-02-25T00:00:00.000Z,2024-02-25T23:59:59.999Z,2024-02-25T20:17:00.000Z,2024-02-25T04:34:00.000Z,2781,381.742624783,390.450089561,378.1285577181,388.5517292678,1324081579.26,58105243467.07,2024-02-25T23:59:59.999Z
2024-02-24T00:00:00.000Z,2024-02-24T23:59:59.999Z,2024-02-24T18:31:00.000Z,2024-02-24T01:58:00.000Z,2781,375.3238365156,383.0737098278,371.9991511161,381.7428080787,1088410660.6,57083248843.19,2024-02-24T23:59:59.999Z
2024-02-23T00:00:00.000Z,2024-02-23T23:59:59.999Z,2024-02-23T00:46:00.000Z,2024-02-23T16:22:00.000Z,2781,381.9831111419,385.4579415016,369.4000991067,375.3191046223,1755398356.64,56126502360.89,2024-02-23T23:59:59.999Z
2024-02-22T00:00:00.000Z,2024-02-22T23:59:59.999Z,2024-02-22T21:05:00.000Z,2024-02-22T03:13:00.000Z,2781,378.7139653979,386.5940938576,374.3027047236,382.0097524763,2002118598.31,57127107818.45,2024-02-22T23:59:59.999Z
2024-02-21T00:00:00.000Z,2024-02-21T23:59:59.999Z,2024-02-21T23:53:00.000Z,2024-02-21T07:10:00.000Z,2781,354.8638487009,379.0655299853,351.4012560287,378.5373226512,2264483250.22,56607899904.41,2024-02-21T23:59:59.999Z
