timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2024-03-01T00:00:00.000Z,2024-03-01T23:59:59.999Z,2024-03-01T23:25:00.000Z,2024-03-01T08:10:00.000Z,2781,0.5862431652,0.6031876327,0.5840059963,0.601889841,1739419651.07,32901725094.48,2024-03-01T23:59:59.999Z
2024-02-29T00:00:00.000Z,2024-02-29T23:59:59.999Z,2024-02-29T16:22:00.000Z,2024-02-29T00:16:00.000Z,2781,0.5757838258,0.6243827721,0.5691537832,0.5863247181,3647028817.01,32009956698.44,2024-02-29T23:59:59.999Z
2024-02-28T00:00:00.000Z,2024-02-28T23:59:59.999Z,2024-02-28T17:07:00.000Z,2024-02-28T17:34:00.000Z,2781,0.5862515039,0.6052046406,0.5436884898,0.5758107233,3080912384.39,31435953067.75,2024-02-28T23:59:59.999Z
2024-02-27T00:00:00.000Z,2024-02-27T23:59:59.999Z,2024-02-27T19:44:00.000Z,2024-02-27T00:44:00.000Z,2781,0.5514046898,0.5960649935,0.5481696308,0.5862581484,2360919082.38,32006322373.81,2024-02-27T23:59:59.999Z
2024-02-26T00:00:00.000Z,2024-02-26T23:59:59.999Z,2024-02-26T22:23:00.000Z,2024-02-26T12:14:00.000Z,2781,0.5424357803,0.5524440093,0.5292327673,0.5514046898,1154518101.22,30103524035.43,2024-02-26T23:59:59.999Z
2024-02-25T00:00:00.000Z,2024-02-25T23:59:59.999Z,2024-02-25T08:35:00.000Z,2024-02-25T23:23:00.000Z,2781,0.5451135771,0.5484001449,0.5423461935,0.5424247352,702442509.45,29613270171.04,2024-02-25T23:59:59.999Z
2024-02-24T00:00:00.000Z,2024-02-24T23:59:59.999Z,2024-02-24T17:50:00.000Z,2024-02-24T02:03:00.000Z,2781,0.5345355764,0.54770665,0.5319113734,0.5451181445,706533507.4,29760314823.91,2024-02-24T23:59:59.999Z
2024-02-23T00:00:00.000Z,2024-02-23T23:59:59.999Z,2024-02-23T00:55:00.000Z,2024-02-23T16:08:00.000Z,2781,0.5408725236,0.5432941351,0.5267097426,0.5345340939,1098846026.66,29182486551.24,2024-02-23T23:59:59.999Z
2024-02-22T00:00:00.000Z,2024-02-22T23:59:59.999Z,2024-02-22T20:43:00.000Z,2024-02-22T13:51:00.000Z,2781,0.5490020353,0.5509618428,0.5378000876,0.5409143839,1169167858.59,29511530686.83,2024-02-22T23:59:59.999Z
2024-02-21T00:00:00.000Z,2024-02-21T23:59:59.999Z,2024-02-21T00:00:00.000Z,2024-02-21T10:13:00.000Z,2781,0.5628792201,0.5628792201,0.5344229009,0.5490039997,1336498048.91,29952888788.0,2024-02-21T23:59:59.999Z
2024-02-20T00:00:00.000Z,2024-02-20T23:59:59.999Z,2024-02-20T13:38:00.000Z,2024-02-20T17:30:00.000Z,2781,0.5625903578,0.5744642066,0.5465724137,0.5629220595,1777533546.79,30712238626.21,2024-02-20T23:59:59.999Z
2024-02-19T00:00:00.000Z,2024-02-19T23:59:59.999Z,2024-02-19T22:12:00.000Z,2024-02-19T17:17:00.000Z,2781,0.5569206189,0.5672997883,0.5550828498,0.5625971649,1108245167.06,30694512829.55,2024-02-19T23:59:59.999Z
2024-02-18T00:00:00.000Z,2024-02-18T23:59:59.999Z,2024-02-18T17:41:00.000Z,2024-02-18T03:20:00.000Z,2781,0.5498847708,0.5621958596,0.5479856606,0.5569030762,689299496.74,30383851331.45,2024-02-18T23:59:59.999Z
2024-02-17T00:00:00.000Z,2024-02-17T23:59:59.999Z,2024-02-17T00:50:00.000Z,2024-02-17T14:50:00.000Z,2781,0.5649599429,0.5656122073,0.5411144857,0.5498862701,911234746.19,30001024225.98,2024-02-17T23:59:59.999Z
2024-02-16T00:00:00.000Z,2024-02-16T23:59:59.999Z,2024-02-16T04:02:00.000Z,2024-02-16T15:17:00.000Z,2781,0.5627809772,0.5784599752,0.555235051,0.5649597824,1505352931.84,30823413930.69,2024-02-16T23:59:59.999Z
2024-02-15T00:00:00.000Z,2024-02-15T23:59:59.999Z,2024-02-15T21:38:00.000Z,2024-02-15T00:00:00.000Z,2781,0.5383963626,0.5738476124,0.5383963626,0.5627550377,1877470521.69,30703126151.99,2024-02-15T23:59:59.999Z
2024-02-14T00:00:00.000Z,2024-02-14T23:59:59.999Z,2024-02-14T22:27:00.000Z,2024-02-14T00:43:00.000Z,2781,0.5248176491,0.5418823238,0.5209741638,0.5384008185,1156449388.81,29346596793.55,2024-02-14T23:59:59.999Z
2024-02-13T00:00:00.000Z,2024-02-13T23:59:59.999Z,2024-02-13T00:18:00.000Z,2024-02-13T14:25:00.000Z,2781,0.5318872929,0.5335376526,0.5163131037,0.5248354021,1023754838.57,28607187065.63,2024-02-13T23:59:59.999Z
2024-02-12T00:00:00.000Z,2024-02-12T23:59:59.999Z,2024-02-12T18:20:00.000Z,2024-02-12T11:26:00.000Z,2781,0.5261020241,0.5369807912,0.5148927355,0.5318969884,1028191903.04,28992092732.15,2024-02-12T23:59:59.999Z
2024-02-11T00:00:00.000Z,2024-02-11T23:59:59.999Z,2024-02-11T09:40:00.000Z,2024-02-11T00:20:00.000Z,2781,0.5240929847,0.5353353081,0.5220914829,0.5260843031,715511550.34,28675260873.43,2024-02-11T23:59:59.999Z
2024-02-10T00:00:00.000Z,2024-02-10T23:59:59.999Z,2024-02-10T03:29:00.000Z,2024-02-10T10:56:00.000Z,2781,0.5260316819,0.5281881503,0.519449675,0.5241116521,578419105.48,28567737643.32,2024-02-10T23:59:59.999Z
2024-02-09T00:00:00.000Z,2024-02-09T23:59:59.999Z,2024-02-09T21:56:00.000Z,2024-02-09T00:47:00.000Z,2781,0.5145158442,0.5280778376,0.5142018942,0.5260312253,1032596975.31,28672367762.28,2024-02-09T23:59:59.999Z
2024-02-08T00:00:00.000Z,2024-02-08T23:59:59.999Z,2024-02-08T15:34:00.000Z,2024-02-08T06:17:00.000Z,2781,0.5137799066,0.5184802403,0.5102841615,0.5145292357,902244430.98,28009011693.36,2024-02-08T23:59:59.999Z
2024-02-07T00:00:00.000Z,2024-02-07T23:59:59.999Z,2024-02-07T22:31:00.000Z,2024-02-07T08:41:00.000Z,2781,0.5051416021,0.5145238242,0.4994430743,0.5137892231,895523746.85,27968728224.74,2024-02-07T23:59:59.999Z
